episode/actions_up,train/loss,train/buffer_size,episode/action_all,episode/actions_neutral,train/grad_norm,_step,episode/goal_reward,episode/clipped_reward,train/episode,_runtime,_timestamp,train/epsilon,episode/total_reward,train/learning_rate,episode/actions_down,episode/tracking_reward,run_id,run_name,group
,0.26644468307495117,3084,,,1.0843135421696306,3092.0,,,0,39.863136477,1787933086.8532364,0.9998044266666667,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.01592428982257843,3596,,,0.08935943483567722,3608.0,,,2,53.531404678,1787933100.5318441,0.9997717466666667,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.014645092189311981,23480,,,0.0069062669261852755,23536.0,,,24,554.904342671,1787933601.9003456,0.99850964,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.04030761122703552,30000,,,0.019920933326916718,34672.0,,,36,829.803702691,1787933876.8030694,0.9978043600000001,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.05408954620361328,30000,,,0.026393966284047738,45820.0,,,46,1112.373551878,1787934159.3876874,0.99709832,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.05139242857694626,30000,,,0.014603689335548613,53152.0,,,53,1297.193733061,1787934344.1553464,0.99663396,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.042372338473796844,30000,,,0.04728587934638657,61472.0,,,62,1506.31183867,1787934553.3118343,0.9961070266666666,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.04972422122955322,30000,,,0.029023233147904944,96892.0,,,100,2394.004184156,1787935441.0065012,0.99386376,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.048193156719207764,30000,,,0.026439732732593587,134520.0,,,142,3340.013052273,1787936387.0110161,0.9914806533333334,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.059046924114227295,30000,,,0.05104202125302711,137224.0,,,144,3408.003441386,1787936455.0171905,0.9913094,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.04401620104908943,30000,,,0.034780312922463634,180336.0,,,192,4483.779927605,1787937530.7845209,0.9885789733333333,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.05008253455162048,30000,,,0.015890228462241147,190152.0,,,203,4729.8159627000005,1787937776.806548,0.9879572933333334,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.04932331666350365,30000,,,0.012062396170965094,207760.0,,,221,5169.627636571,1787938216.6242008,0.9868421199999999,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.045075103640556335,30000,,,0.021357801369353117,219084.0,,,232,5454.101724055,1787938501.101348,0.9861249333333333,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.04616924375295639,30000,,,0.007790543888192346,224348.0,,,239,5585.338101315,1787938632.3380296,0.9857915466666666,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.04802918806672096,30000,,,0.04161559959118975,242208.0,,,258,6033.01924307,1787939080.0420346,0.9846604133333334,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.04317739978432655,30000,,,0.031896771580311185,246884.0,,,263,6150.678614271,1787939197.6744573,0.9843642666666668,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.04594239592552185,30000,,,0.018388941187817677,248260.0,,,264,6184.724092357,1787939231.7242537,0.98427712,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
,0.06429732590913773,30000,,,0.09585433735411426,254656.0,,,271,6343.148406159,1787939390.138119,0.98387204,,0.0003,,,lqz1noyb,good-sweep-1,baseline_sparse
